obs_p,obs_q,obs_teta,obs_DateTime
0.0,4.657,,
0.0,4.554,,
0.0,4.452,,
0.0,4.371,,
0.0,4.169,,
0.0,4.229,,
0.0,4.169,,
0.0,4.048,,
0.0,3.968,,
0.0,3.908,,
0.0,3.908,,
0.0001,3.889,,
0.0,3.849,,
0.0,3.809,,
0.0001,3.73,,
0.0,3.671,,
0.0002,3.632,,
0.00030000000000000003,3.632,,
0.0005,3.71,,
0.0,3.73,,
0.0,3.77,,
0.0002,3.789,,
0.0001,3.829,,
0.00030000000000000003,3.928,,
0.0006,4.108,,
0.0027,4.473,,
0.0008,4.904,,
0.0006,5.259,,
0.0,5.703,,
0.0,6.11,,
0.0,6.873,,
0.0,7.315,,
0.0,7.831,,
0.0,8.057,,
0.0,7.989,,
0.0,7.808,,
0.0,7.449,,
0.0,7.005,,
0.0,6.653,,
0.0001,6.326,,
0.0,6.089,,
0.0,5.831,,
0.0,5.618,,
0.0,5.512,,
0.0,5.406,,
0.0,5.322,,
0.0,5.238,,
0.0,5.175,,
0.0,5.092,,
0.0,5.071,,
0.0,4.987,,
0.0,4.967,,
0.0001,4.904,,
0.0,4.842,,
0.0,4.78,,
0.0,4.739,,
0.0,4.657,,
0.0,4.595,,
0.0,4.534,,
0.0,4.493,,
0.0,4.452,,
0.0,4.371,,
0.0,4.31,,
0.0,4.452,,
0.0,4.493,,
0.0,4.33,,
0.0,4.249,,
0.0,4.128,,
0.0,4.048,,
0.0,3.988,,
0.0,3.869,,
0.0,3.849,,
0.0,3.789,,
0.0,3.71,,
0.0,3.651,,
0.0,3.612,,
0.0,3.592,,
0.0,3.534,,
0.0,3.475,,
0.0,3.456,,
0.0,3.436,,
0.0,3.417,,
0.0,3.358,,
0.0,3.339,,
0.0,3.3,,
0.0,3.281,,
0.0,3.243,,
0.00030000000000000003,3.204,,
0.0,3.185,,
0.0,3.166,,
0.0,3.127,,
0.0002,3.108,,
0.0008999999999999999,3.127,,
0.0012,3.147,,
0.0006,3.204,,
0.0007,3.281,,
0.0014000000000000002,3.417,,
0.0016,3.592,,
0.0007000000000000001,3.928,,
0.0001,4.371,,
0.0013,4.842,,
0.0001,5.175,,
0.0,5.767,,
0.0,6.261,,
0.0,6.697,,
0.0,7.093,,
0.0001,7.138,,
0.0,7.049,,
0.0,6.873,,
0.0,6.588,,
0.0,6.283,,
0.0,5.938,,
0.0,5.66,,
0.0,5.406,,
0.0,5.196,,
0.0,5.029,,
0.0,4.884,,
0.0,4.78,,
0.001,4.76,,
0.0018000000000000002,4.78,,
0.0013,5.071,,
0.0011,5.343,,
0.0008,5.66,,
0.0017999999999999997,6.067,,
0.001,7.049,,
0.0005,8.057,,
0.0021000000000000003,9.575,,
0.002,11.523,,
0.0008,13.507,,
0.002,15.825,,
0.0001,17.631,,
0.0008,19.444,,
0.0003,21.666,,
0.0,22.072,,
0.0,22.833,,
0.0,22.915,,
0.0,22.67,,
0.0,21.774,,
0.0,20.804,,
0.0,19.63,,
0.0,18.468,,
0.0,17.683,,
0.0,16.853,,
0.0,16.363,,
0.0,15.647,,
0.0012,15.24,,
0.0001,14.759,,
0.0005,14.557,,
0.0,14.306,,
0.0001,13.981,,
0.00030000000000000003,13.856,,
0.0001,13.706,,
0.0006000000000000001,13.507,,
0.0,13.631,,
0.0,13.334,,
0.0001,13.16,,
0.0,12.815,,
0.0011,12.643,,
0.0,12.349,,
0.0,12.3,,
